State,Poverty2016,Unemployment2016,PopulationSize
Alabama,814197,134417,4863300
Alaska,71916,23898,741894
Arizona,1107153,179152,6931071
Arkansas,497388,59513,2988248
California,5527621,1089346,39250017
Colorado,598378,90544,5540545
Connecticut,342171,103758,3576452
Delaware,109592,22539,952065
Florida,2986237,494100,20612439
Georgia,1612368,258813,10310371
Hawaii,132597,21621,1428557
Idaho,228037,31406,1683140
Illinois,1620974,412538,12801539
Indiana,899168,151262,6633053
Iowa,354429,60234,3134693
Kansas,343773,60741,2907289
Kentucky,782779,114305,4436974
Louisiana,911970,125061,4681666
Maine,159523,25673,1331479
Maryland,572786,153378,6016447
Massachusetts,688366,166417,6811779
Michigan,1449683,237378,9928300
Minnesota,531789,111558,5519952
Mississippi,606873,87438,2988726
Missouri,826358,133197,6093000
Montana,136439,21657,1042520
Nebraska,208864,30645,1907116
Nevada,407308,89444,2940058
New Hampshire,97753,21581,1334795
New Jersey,915390,207077,8944469
New Mexico,390461,59150,2081015
New York,2843954,479279,19745289
North Carolina,1523034,266407,10146788
North Dakota,76951,11608,757952
Ohio,1639636,279272,11614373
Oklahoma,615050,75527,3923561
Oregon,538169,102324,4093465
Pennsylvania,1589584,296014,12784227
Rhode Island,134683,29601,1056426
South Carolina,739574,124506,4961119
South Dakota,107953,12635,865454
Tennessee,1023825,165456,6651194
Texas,4261291,594240,27862596
Utah,307270,49547,3051217
Vermont,67825,11768,624594
Virginia,897244,175474,8411808
Washington,808582,209897,7288000
Washington DC,119778,25437,681170
West Virginia,318368,49450,1831102
Wisconsin,661465,144688,5778708
Wyoming,62416,14162,585501